--------------------TOTAL COST--------------------
For 30 days: 
Transport,204480 RON,44452 USD
Hotel cost,4418400 RON,960521 USD
Makeup,1385820 RON,301265 USD
Food cost,1587042 RON,345009 USD
Rental cost,294000 RON,63913 USD

Total cost,7889742 RON,1715161 USD

-----------------------------------------------

For 45 days: 
Transport,204480 RON,44452 USD
Hotel cost,6627600 RON,1440782 USD
Makeup,2078730 RON,451897 USD
Food cost,2380563 RON,517513 USD
Rental cost,441000 RON,95869 USD

Total cost,11732373 RON,2550515 USD

-----------------------------------------------

For 60 days: 
Transport,204480 RON,44452 USD
Hotel cost,8836800 RON,1921043 USD
Makeup,2771640 RON,602530 USD
Food cost,3174084 RON,690018 USD
Rental cost,588000 RON,127826 USD

Total cost,15575004 RON,3385870 USD

-----------------------------------------------

For 100 days: 
Transport,204480 RON,44452 USD
Hotel cost,14728000 RON,3201739 USD
Makeup,4619400 RON,1004217 USD
Food cost,5290140 RON,1150030 USD
Rental cost,980000 RON,213043 USD

Total cost,25822020 RON,5613482 USD

-----------------------------------------------

