--------------------TOTAL COST--------------------
Pentru 30 de zile: 
Transport,204480 RON,44452 USD
Cazare hotel,4418400 RON,960521 USD
Machiaj actori si figuranti,1385820 RON,345009 USD
Costul meniurilor si bauturilor,1587042 RON,345009 USD
Costul inchirierii,294000 RON,63913 USD

Costul total,7889742 RON,1715161 USD

-----------------------------------------------

Pentru 45 de zile: 
Transport,204480 RON,44452 USD
Cazare hotel,6627600 RON,1440782 USD
Machiaj actori si figuranti,2078730 RON,517513 USD
Costul meniurilor si bauturilor,2380563 RON,517513 USD
Costul inchirierii,441000 RON,95869 USD

Costul total,11732373 RON,2550515 USD

-----------------------------------------------

Pentru 60 de zile: 
Transport,204480 RON,44452 USD
Cazare hotel,8836800 RON,1921043 USD
Machiaj actori si figuranti,2771640 RON,690018 USD
Costul meniurilor si bauturilor,3174084 RON,690018 USD
Costul inchirierii,588000 RON,127826 USD

Costul total,15575004 RON,3385870 USD

-----------------------------------------------

Pentru 100 de zile: 
Transport,204480 RON,44452 USD
Cazare hotel,14728000 RON,3201739 USD
Machiaj actori si figuranti,4619400 RON,1150030 USD
Costul meniurilor si bauturilor,5290140 RON,1150030 USD
Costul inchirierii,980000 RON,213043 USD

Costul total,25822020 RON,5613482 USD

-----------------------------------------------

